,职位名称,公司名称,职位月薪,工作地点,发布日期
195,自动化测试工程师,厦门亿联网络技术股份有限公司,8000-15000,厦门,招聘中
196,性能测试工程师,厦门亿联网络技术股份有限公司,8000-15000,厦门,招聘中
197,算法工程师,宝宝树(北京)信息技术有限公司,20000-40000,厦门-思明区,招聘中
198,数据分析负责人,厦门美图网科技有限公司,8000-16000,厦门,最近
199,爬虫工程师,品尚电子商务有限公司,6001-8000,厦门,最新
200,数据分析,品尚电子商务有限公司,8001-10000,厦门,最新
201,高级服务器管理工程师,厦门网赢集团有限公司,6001-8000,厦门-海沧区,招聘中
202,测试工程师,福建易洁科技有限公司,6000-10000,厦门,招聘中
203,图像识别工程师,准动网络科技(厦门)有限公司,10000-20000,厦门,招聘中
204,高级大数据工程师,汉纳森（厦门）数据股份有限公司,8001-10000,厦门,最新
205,服务端开发工程师,福建马上红信息技术有限公司,10000-15000,厦门,招聘中
206,测试工程师,厦门古美术电子商务有限公司,7000-12000,厦门-湖里区,最近
207,高级数据挖掘分析师,科技谷(厦门)信息技术有限公司,15000-20000,厦门,招聘中
208,数据挖掘分析师,哥们网科技有限公司,8000-16000,厦门,最新
209,数据分析师(001372),途家网网络技术(北京)有限公司,15001-20000,厦门,招聘中
210,图像算法工程师,罗普特（厦门）科技集团有限公司,12000-24000,厦门-思明区,最新
211,Hadoop中级工程师,科技谷(厦门)信息技术有限公司,8000-12000,厦门,招聘中
212,IPC嵌入式软件工程师,厦门嘉乐道科技有限公司,20001-30000,厦门,招聘中
213,c++开发工程师,蓝海(福建)信息科技有限公司,10001-15000,厦门,最新
214,生物信息工程师,厦门市鑫闽杭汽车服务有限公司,6000-12000,厦门,招聘中
215,Node.Js工程师,厦门与梦信息技术有限公司,6000-12000,厦门,最新
216,数据库工程师,北京网宿科技有限公司,10001-15000,厦门,招聘中
217,爬虫工程师,厦门艾帝尔斯进出口有限公司,6001-8000,厦门,招聘中
218,大数据工程师,厦门渊亭信息科技有限公司,8000-16000,厦门,最近
219,运维工程师（偏传统运维）,汉纳森（厦门）数据股份有限公司,6001-8000,厦门,最新
220,运维网管,福建易洁科技有限公司,6000-8000,厦门,招聘中
221,测试工程师,厦门旺集信息科技有限公司,4000-8000,厦门-思明区,最新
222,网络安全工程师,福建康众畅想信息科技有限公司,5000-10000,厦门,最新
223,产品运营（高级运维）工程师,北京网宿科技有限公司,10001-15000,厦门,招聘中
224,总行数据管理员,厦门国际银行股份有限公司,15001-20000,厦门,招聘中
225,数据挖掘工程师（hadoop方向）,厦门艾帝尔斯进出口有限公司,6001-8000,厦门,招聘中
226,服务端开发人员,长生道(中国)有限公司,8000-12000,厦门,最新
227,web前端开发工程师,罗普特（厦门）科技集团有限公司,6000-12000,厦门,最新
228,WEB前端开发工程师,罗普特（厦门）科技集团有限公司,6000-12000,厦门,最新
229,运维主管,厦门米冠网络科技有限公司,10001-15000,厦门-思明区,最新
230,前端工程师,厦门乐榜网络科技有限公司,6000-12000,厦门,最近
231,前端工程师,厦门朗视信息科技有限公司,5000-9000,厦门,招聘中
232,JAVA软件研发工程师,三明易联众信息技术有限公司,5000-10000,厦门,招聘中
233,java测试工程师,福建中奎环保科技有限公司,5000-7000,厦门,最新
234,高级网络软件工程师,厦门博视源机器视觉技术有限公司,8000-15000,厦门,招聘中
235,SEO主管,厦门爱站信息技术有限公司,8000-16000,厦门,招聘中
236,数据挖掘工程师,厦门艾帝尔斯进出口有限公司,6001-8000,厦门,招聘中
237,测试实习生,福建星网智慧科技股份有限公司,1000-2000,厦门,招聘中
238,产品经理,厦门快商通科技股份有限公司,8001-10000,厦门,招聘中
239,游戏服务器开发,厦门当当猫网络科技有限公司,6000-12000,厦门,最新
240,中级大数据分析师,汉纳森（厦门）数据股份有限公司,8001-10000,厦门,最新
241,服务器运维工程师,厦门建发集团有限公司,6001-8000,厦门,招聘中
242,开放平台-数据分析师（厦门）J10313,途家网网络技术(北京)有限公司,10001-15000,厦门,招聘中
243,程序员（兆翔科技）,厦门翔业集团有限公司,4001-6000,厦门,招聘中
245,总行数据模型工程师,厦门国际银行股份有限公司,15001-20000,厦门,招聘中
246,初级大数据分析师,汉纳森（厦门）数据股份有限公司,8001-10000,厦门,最新
247,服务器运维工程师,厦门建发旅游集团股份有限公司,6001-8000,厦门,招聘中
